,0
233,말로 정보전하는 AI스피커? 화면으로도 보세요
234,"SKT 5GX 슈퍼노바, 2시에 검색 준비 ""에어팟+치킨+커피 행운"""
235,"이통3사, 다양한 5G '광고 열전‘... ’3사 3색‘ 또 다른 '경쟁'의 장"
236,"SK-서울시, 5G와 AI로 완전자율주행 시대 앞당긴다"
237,"SK-서울시, 5G와 AI로 완전자율주행 시대 앞당긴다"
238,"SK, 서울시와 5G·AI로 완전자율주행 시대 앞당긴다"
239,"SK, 서울시와 5G·AI로 완전자율주행 시대 앞당긴다"
240,"SK-서울시, 5G와 AI로 완전자율주행 시대 앞당긴다"
241,"SK-서울시, 5G와 AI로 완전자율주행 시대 앞당긴다"
242,LG도 뛰어든 AI스피커 경쟁..스마트홈 허브 '2라운드'
243,"SK, 5G·AI로 완전자율주행 시대 앞당긴다"
244,"SK-서울시, 5G와 AI로 완전자율주행 시대 앞당긴다"
245,"SK, 서울시와 5G·AI로 완전자율주행 시대 앞당긴다"
246,SKT 잇단 '거물급' 업무협약 이번엔 MS와
247,"SK, 서울시와 '맞손'… 5G·AI로 완전자율주행 시대 앞당긴다"
248,5G-AI 자율주행 필수인프라 “실시간 초정밀도로지도” 개발
249,"SK, 서울시와 5G·AI로 완전자율주행 시대 앞당긴다"
250,SKT 1분기 영업익 3226억..감소세 완화
251,"SKT-MS, 5G와 클라우드 결합해 신사업 발굴 나선다"
252,"SKT, MS와 5G·클라우드 협력 강화..""전에 없던 서비스 찾는다"""
253,"핀크-SKT, 연락처 바로 송금 서비스 ‘T전화송금’ 출시"
254,"핀크, SKT와 협업 'T전화송금' 서비스 출시..연락처로 바로"
255,"SKT, 눈으로 보는 AI스피커 ‘누구 네모’ 선봬"
256, 5G와 AI로 완전자율주행 시대 앞당긴다
257,"SKT·MS, 5G·클라우드 역량 결집"
258,"SKT, 5G로 옛 추억 사진 화질↑..40명 에어팟 '쏜다'"
259,"'마법사진관' 10만명↑..'SKT 5GX 슈퍼노바' 검색하면 ""선물 팡팡"""
260,SKT '마법 사진관'
261,"“아리아, 외로움을 달래줘서 고마워” SKT, 독거 어르신에 AI 스피..."
262,"""인공지능 개발해 사회 자산화하겠다""..㈜인공지능연구원..."
263,"SKT·MS 손잡고 ""인공지능·5G·클라우드 협력"""
264," SKT-서울시, HD맵 실시간 업데이트 기술 실증 협약"
265,스마트시티 국제심포지엄 송도서 열려
266,"이통3사, '홈 AI' 단말 경쟁..이젠 보고 듣는다"
267,"시-SKT, 자율주행 필수 인프라 '실시간 초정밀도로지도' 공동개발"
268,"SKT, 전천후 AI '슈퍼노바'..영상·음성~반도체 제조까지"
269,'옛사진을 고화질로'..SKT 5GX 마법사진관 방문자 10만명
270,"SKT,  아시아 어워드 7개 부문 수상"
271,"SKT, ' 아시아 어워드'서 7관왕 위업"
272,"이통 3사, 보는 AI 스피커 大戰..관건은 '콘텐츠'"
273,"SKT-서울시, 서울 시내버스·택시 1700대에 5G 기반 ADAS 장착"
274," ""어버이날, 누구(AI)에게 지지 마세요"""
275,"SKT “서울, 5G 대중교통 세계 첫 도시로”"
276,"AI 코리아 어벤저스, 美·러·캐나다·인도까지 세계 곳곳서 뛴다"
277,"SKT, 'Telecom Asia Awards' 7개 부문 수상"
278,더 넓어진 이통3사 영토전쟁…'음성에 영상까지' 디스플레이 AI 스...
279,"SKT, ' 아시아 어워드' 싹쓸이… 7개 부문 석권"
280,"SKT,  아시아 어워드 '싹쓸이'…7개 부문 석권"
281,"SKT, 글로벌 ICT 시상식 '아시아어워드'서 7관왕"
282,"SKT, ICT로 돌봄서비스 지원한다"
283,"SKT, ‘ICT 케어센터’ 개소...사회적 가치 창출 나선다"
284,"SKT-서울시, 시내버스·택시 5G 기술 적용 협약…자율주행차 상용화..."
285,"국회도서관 등 한국학술정보협의희, ""4차 산업혁명 대비..데이터 융..."
286,"서울시-SKT, 정밀도로지도 기술 개발·실증...시내버스·택시에 5G ..."
287,"현대차-SKT, AI 플랫폼 활용해 고객 응대용 '서비스 로봇' 개발"
288,독거노인·장애인 돌보는 AI..감정도 읽는다
289,"SKT, ‘ 아시아 어워드’서 7개 부문 수상"
290,"SKT,  아시아 어워드서 최우수 이통사 선정"
291,"SKT, 아시아어워드 2019 싹쓸이...이통업계 유일 수상"
292,"SKT, ' 아시아 어워드' 싹쓸이"
293,국내 최초 '스크린 AI 스피커' 내놓은 SKT...킬러콘텐츠는?
294,도시·농촌의 진화를 모색하다
295,"국내 이통사, AI 스피커 경쟁…""SKT 이어 KT·LGU+도 출격"""
296,"SKT, AI기반 '슈퍼노바' MWC서 공개"
297,"SKT, ' 아시아 어워드 2019' 7개 부문 석권"
298,"도시문제 해법, 스마트시티에서 찾는다"
299,독거노인·장애인 돌보는 AI..감정도 읽는다
300,"SKT, ' 아시아 어워드 2019' 7개 부문 최다 수상"
301,"SKT, AI 기반 미디어 품질개선 솔루션 '슈퍼노바' 공개"
302,"SKT, ' 아시아 어워드 2019'서 7개 부문 수상"
303,"전세계 스마트시티 전문가들, 송도서 도시문제 해법 나눈다"
304,"“스마트시티 세계 석학들, 송도서 도시문제 해법 제시”"
305,"국토진흥원, 인천 송도서 ‘스마트시티 국제심포지엄’ 개최"
306,독거노인·장애인 돌보는 AI..감정도 읽는다
307,"SKT, ‘텔콤 아시아 어워드 2019’서 7개 부문 수상"
308,"국토진흥원, 오는 28일 스마트시티 국제심포지엄 개최"
309,"SKT, 국내 사 중 나홀로 ‘ 아시아 어워드’ 싹쓸이"
310,"SKT·ADT캡스, 전남경영자총협회와 융합보안 컨설팅 MOU"
311,"인천 경제청, 송도서 ‘스마트시티 국제심포지엄’ 개최"
312,"SKT·ADT캡스, 전남경총과 5G 융합보안 컨설팅 MOU"
313,"SKT, 5G 핵심기술 MEC 글로벌 입증"
314,"SKT, 해외서 ICT 상 싹쓸이...7개 부문 최다 수상"
315,"SKT '누구네모', 화면 장착한 AI스피커 실용성 낙제점?"
316,"인천 송도컨벤시아에서 “스마트시티 세계 석학들, 송도서 도시문제..."
317,"국토진흥원, 스마트시티서 도시문제 해법 찾는다"
318,"인천경제청, 스마트시티 세계 석학들 `도시문제 해법` 제시"
319,"핀크-SKT, 연락처로 돈 보낸다...‘T전화송금’ 서비스 출시"
320,스마트시티 세계 석학들 인천 송도서 도시문제 해법 제시
321," SKT, ‘ 아시아 어워드’서 7개 부문 석권"
322,"핀크·SKT, 연락처로 송금하는 ‘T전화송금’ 서비스 출시"
323,"국토진흥원, ‘제2회 스마트시티 국제심포지엄’ 개최"
324,"인천경제청, ‘스마트시티 국제심포지엄’ 개최... ‘각종 도시문제..."
325,"스마트시티 세계 석학들, 송도서 도시문제 해법 제시"
326,"핀크, SKT와 협업 'T전화송금' 서비스 출시…연락처로 바로 송금"
327,"SKT, 독거 어르신들에 AI스피커 '누구' 제공…ICT로 사회적 가치 창..."
328,"스마트시티 세계 석학들, 송도서 도시문제 해법 제시"
329,"인천경제청, '스마트시티 국제심포지엄' 송도서 28일 개최"
330,"'귀로 듣고 눈으로 보는 AI 스피커'…SKT, 누구 네모 출시"
331,"SKT, 아시아 ICT 어워드 7개 부문 '싹쓸이'"
332,"MS, SKT 품에 안다…클라우드·MS365 공급 성과"
333," SKT, 'AI 미디어 추천 기술'로 글로벌 모바일 어워드 수상"
334,"인천경제청, 송도에서 ‘스마트시티 국제심포지엄’ 열어"
335,"SKT-MS, 첨단 ICT 분야 포괄적 협력 강화"
336,"SKT, 디스플레이 탑재형 AI 스피커 ‘누구 네모’ 출시"
337,"SK, 서울시 손잡고 대중교통에 5G 적용"
338,세계 최고 스마트시티 석학들…인천 송도서 “도시문제 해법 제시”
339,"독거노인 2100명에 AI 스피커 제공…SKT, ‘ICT 돌봄 서비스’ 개시"
340,"SKT, 5GX 마법 사진관서 옛 추억 살려낸다"
341,"SKT, ‘ 아시아 어워드 2019’서 5G·VR 등 7개 부문 수상"
342,"SKT ""5G 핵심기술 MEC, 리딩 라이트 어워드 혁신상"" 수상"
343,"SKT, AI솔루션 ‘슈퍼노바’ MWC2019 공개"
344,"SKT, AI ‘슈퍼노바’로 5G 황금시대 앞당긴다"
345,"SK-서울시, 세계 최초 대중교통에 5G 기술 적용"
346,"SKT, 키즈 콘텐츠 탑재…보이는 AI 스피커 ‘누구 네모’ 출시"
347,"ADT캡스, SKT 협업해 전남경총에 5G 융합보안컨설팅 제공"
348,"“휴대폰 번호만 알면 송금 끝”…핀크, SKT와 협업 ‘T전화송금’ ..."
349," SKT, 1분기 선방 ..뉴 ICT 재편 성과 '착착'"
350,"""AI 스피커, 한 차원 진화""… SKT, 디스플레이 품은 '누구 네모' 출시"
351,"SKT, AI 품질개선 솔루션 '슈퍼노바' MWC서 공개"
352, ‘전국AI자랑’ 시즌2 - SKT ’누구‘ vs KT ...
353," SKT AI미디어 추천기술, 최고 모바일 영상서비스 부문 수상"
354,"SKT, 월드IT쇼 2019서 5G·AI·IoT 등 혁신 서비스 소개"
355,"""보이는 인공지능(AI) 스피커가 떴다""…SKT, '누구 네모' 출시"
356,"SKT ""합산규제 재도입 불발땐 IPTV에 악영향"""
357,"SKT, 화면으로도 정보 전달하는 AI 스피커 ‘누구 네모’ 출시"
358,​SKT 5G네트워크-MS 클라우드 ‘결합’…어떤 차별화 상품‧서비스 ...
359, '베일 벗은' 측정 시스템 SKT·하이닉스·이...
360,"SKT, 데이터 무제한으로 'POOQ·FLO' 쓰는 월정액 서비스 출시"
361,"""빛바랜 추억 선명하게 만들고 싶어"" SKT, 5G로 사진 화질 개선해 선물"
362,"스마트시티 세계 석학들, 송도서 도시문제 해법 논한다"
363,SKT '티움(T.um)' 찾은 칠레 대통령
364,"SKT, AI ‘슈퍼노바’로 5G 서비스 생태계 구축나서"
365,"""5G 황금시대 앞당긴다""… SKT, AI 품질개선 솔루션 '슈퍼노바' 공개"
366,"SKT, '5GX 슈퍼노바‘ 기술 적용한 'SKT 5GX 마법 사진관’ 이벤트 ..."
367,"SK, 서울시와 5GㆍAI로 완전자율주행 시대 앞당긴다"
368,"SK-서울시, 세계 최초 5G기반 차량충돌방지 기술 버스·택시 ..."
369,‘스마트시티 국제심포지엄’ 28일 인천 송도서 개최
