,0
197,"-LGU+, 지체 장애인에 AI스피커 등 전달"
198,", AI 기술·노하우 공유하는 학술대회 개최"
199,"KB금융, 와 금융 AI 비즈니스 사업제휴"
200,"KB금융-, 금융 AI 프로젝트 추진"
201,", 세계 딥러닝 학회 ICLR 참가..클로바 핵심기술 담은 논문 발표"
202,"·LGU+ ""AI 기술 통해 지체 장애인 삶의 질 개선"""
203,", 새로운 AI 검색 기술 공개한다"
204,", 'AI 콜로키움'에 전 세계 산·학계 인공지능 연구진 총집합"
205,"KB금융, 와 금융AI 비즈니스 사업제휴"
206,"KB금융-, ‘금융 AI’ 사업제휴"
207,KB금융- '금융 AI 비즈니스 MOU' 체결
208,""", 지역언론 차별 말고 대화에 나서라"""
209,"""기술노하우 공유""…, AI콜로키움 4월5일 개최"
210,", 로보틱스·AI 기술 스타트업 2곳에 투자"
211," AI 스피커, 말로 보고 눈으로 듣는다"
212,"루나소프트,  투자 유치..이커머스 분야 협업"
213,"KB금융-, 금융AI 비즈니스 '맞손'"
214,AI가 편집한  뉴스..일평균 페이지뷰 69% 증가했다
215,"KB금융-, 금융 AI 비즈니스 사업 제휴"
216,"KB금융-, 금융 AI 비즈니스 사업제휴"
217,", 로봇관리·AI의료영상분석 스타트업 2곳 투자"
218, 3년 연속 ICLR 등판
219,", ‘ICLR 2019’서 딥러닝 연구 성과 공개"
220,"KB금융-, 금융 AI 비즈니스 사업 제휴"
221,"우리은행,  라인과 AI 기술 협업"
222, AI 콜로키움 내달 5일 개최…AI개발자와 학계 정보공유 학술...
223,간편결제 '부정거래' 국내 기술로 잡는다..'AI 레그테크' 상용화
224,"KB금융-, 금융 AI 비즈니스 사업 제휴"
225,"KB금융-, 금융 AI 비즈니스 사업제휴"
226,"LG '알렉사' 품은 스마트TV 출시…""AI 동맹 확산"""
227,일반인 중 ' 목소리 뽑는다'..음성합성 개인·대중화 '성큼'
228,"KB금융·, 금융 AI 비즈니스 사업제휴"
229,"KB금융-, 금융 AI 비즈니스 프로젝트로 손잡는다"
230,", AI기술·노하우 공유의 장 연다"
231,", 딥러닝 콘퍼런스 'ICLR 2019'서 연구 성과 공개"
232,"KB금융, 와 손잡았다..금융 AI 비즈니스 확대"
233,"우리은행,  라인과 'AI 공동 랩' 신설"
234," D2SF, ‘로보틱스-AI’ 기술 스타트업 투자"
235,", 국내 학계·업계 AI 기술 공유로 국내 AI 생태계 강화"
236, KB금융 와 금융 AI 사업 제휴
237,"새로운 , 오디오 뉴스도 인공지능(AI)이 추천?"
238," D2SF, 로보틱스·AI 기술 스타트업에 투자"
239,"""국내서 처음 여는 AI 대학원을 소개합니다"""
240,"우리은행,  라인과 AI상품 개발한다"
241,"KB금융-, 금융AI 비즈니스 파트너십 MOU 체결"
242," D2SF, 로보틱스·AI 기술 스타트업에 투자"
243,"-LGU+, 지체장애인 300명에 AI 스피커·음원 이용권 제공"
244,"KB금융, 와 AI 사업제휴 금융스피커 개발 협력"
245,"KB금융, 와 AI 사업제휴… ‘금융스피커’ 개발 예정"
246," D2SF, 로보틱스·AI 기술 스타트업에 투자"
247," D2SF, 로보틱스·AI 기술 스타트업에 투자"
248," D2SF, 로보틱스•AI 기술 스타트업에 투자"
249," D2SF, 로보틱스·AI 기술 스타트업에 투자"
250," D2SF, 로보틱스·AI 기술 스타트업에 투자"
251,", 딥러닝 컨퍼런스 ‘ICLR 2019’서 클로바·AI 기술 연구성..."
252,가 꿈꾸는 AI 기술 개발 생태계
253," D2SF, 로보틱스·AI 기술 스타트업에 투자"
254,"동아대, 김성훈 교수 초청 AI(인공지능) 특강"
255,"LG유플러스 우리집 AI- 클로바, 스마트 스피커 전달식"
256,"LG전자, 인공지능 홈로봇 'LG 클로이' 16일 판매 시작"
257,", LG유플러스와 AI 기술로 사회적 약자 돕는다"
258,"KB금융-, 금융 AI 사업 제휴…“음성 금융 거래 개발 협력”"
259,"KB금융, 음성 금융거래 스피커 개발...와 AI 비즈니스 사업제휴"
260,' 툰레이더' 망에 걸린 불법 웹툰 사이트 운영자들
261,어제부터  뉴스 추천에 AI 도입
262,"LG전자, 이번엔 '얀덱스'와 AI 협력..'알리사' 탑재 엑스붐 AI 씽큐..."
263,보이는 AI 스피커 시대 온다
264,"우리은행,  라인과 'AI 공동 랩' 설립"
265,"우리은행,  라인과 AI기술 협업 MOU 체결"
266,", 대규모 산학 학술행사 'AI 콜로키움 2019' 개최"
267," D2SF, 로보틱스·AI 기술 스타트업에 투자"
268,"우리은행,  라인과 AI 협업 위한 업무협약 체결"
269,"LG유플러스 우리집 AI- 클로바, 스마트 스피커 전달식 ..."
270,"KB금융, 와 손잡고 금융스피커 등 AI프로젝트 추진"
271,어제부터 뉴스 추천에 AI 도입한 
272,AI 도입한  페이지 소개하는 김광현 리더
273,", 내달 5일 AI 연구결과 공유 'AI 콜로키움'"
274,"""AI기술자 다 모여라"".., 내달 5일 'AI콜로키움' 개최"
275,", 딥러닝 컨퍼런스 ‘ICLR 2019'서 최신 AI 기술·연구 성과 ..."
276,"우리은행- 라인, AI 기술 협업 MOU 체결"
277,"LGU+, 5.5인치 디스플레이 탑재한 AI 스피커 출시"
278,", 4월 5일 AI 연구자 대상 'NAVER AI 콜로키움' 개최"
279," D2SF, 로보틱스·AI 스타트업 ‘클로봇·모니터’에 투자"
280,"LG전자, 인공지능 홈로봇 'LG 클로이' 본격 판매"
281,"LGU+, 어벤져스 AI스피커 3일 출시"
282,"와 카카오, 인공지능 기술 앞세워 기업고객으로 발뻗어"
283,10배 빨라지는 '구글 어시스턴트'…뒤쫓는 
284,"삼성카드 '아지냥이', 반려동물 위한 커뮤니티 "
285,", 연구자 대상 'AI 콜로키움' 내달 5일 개최"
286," "" OCR 정확도, 구글보다 15% 우위…AI,  전반에..."
287,"LG유플러스, 디즈니코리아와 디스플레이 탑재 AI스피커 출시"
288,말로 하면 화면으로 말한다..보이는 AI 스피커 출격!
289,"KB금융, 와 '금융AI 기술개발' 제휴"
290,"KB금융, 와 금융 AI 비즈니스 사업제휴"
291,"우리은행- 라인, AI기술 협업 MOU"
292,"세계적 AI 개발자 김성훈 씨, 동아대학교 초청 강연 펼쳐"
293," LG하우시스, 금호타이어, (주)풀무원, (주..."
294, 데이터센터 급한데..주민은 반대·용인시는 '나몰라라'
295,"우리은행,  라인과 AI기술 협업 MOU 체결"
296,"우리은행- 라인, AI 기술 협업"
297,"AI 스피커, 디스플레이와 결합해 '보는 스피커'로 변신"
298,KB금융 와 금융 AI 비즈니스 사업제휴
299,", 인공지능 연구자 대상 'AI 콜로키움' 개최"
300,"은행원 안세원씨 ""문자메시지가 '스미싱' 인지 AI로 97% 정확히 판별"""
301," ""뉴스페이지, AI 편집 후 페이지뷰 69% 증가"""
302," 인공지능(AI)통번역 '파파고', 월간 사용자 1000만 돌파"
303,"KB금융, 와 ‘금융 AI’ 비즈니스 사업제휴"
304, “산학 협력 통해 AI 생태계 강화할 것”
305,"LG유플러스-, 지체 장애인에 AI스피커 전달"
306,", 뉴스에 AI 적용하고 페이지뷰 69% 증가"
307,"KB금융, 와 '금융 AI 스피커' 개발 협약"
308," 뉴스편집, AI가 사람 대신 다 한다"
309,"中 배달 전문 플랫폼 '메이퇀', AI 연구 인력 1만명 둔 이유"
310," 웹툰 라인플러스, 체험형 채용연계형 인턴 모집"
311,"LG유플러스·, 지체장애인에 AI스피커 지원"
312," 뉴스, 사람 대신 AI가 편집한다"
313,"LGU+, 보이는 AI 스피커로 ‘어벤져스’를 만난다"
314,가 꿈꾸는 AI의 미래 공개..4월 5일 'AI 콜로키움' 개최
315," 카카오 출신이 세운 VR 스타트업, LG·서 84억 투자 ..."
316,"이통 3사, 보는 AI 스피커 大戰..관건은 '콘텐츠'"
317,"서울시 “제로페이 궁금증,  챗봇‧AI스피커에 물어보세요”"
318,""" 뉴스에 AI 도입했더니 페이지뷰 늘었다"""
319,"·LGU+, 지체 장애인에 AI스피커·음원 이용권 전달"
320,"이통3사, '홈 AI' 단말 경쟁..이젠 보고 듣는다"
321,", 새 버전 AI 추천기술 등 고도화 나선다"
322,"이통 3사, AI 스피커 경쟁 2라운드..이번엔 '디스플레이'"
323," 인공지능으로 움직이는 , 이렇게 바뀌었..."
324," D2SF, 로보틱스ㆍAI 기술 스타트업 2개사에 투자"
325,"""직캠부터 뉴스 배열까지""…, 사용자가 체감하는 AI 가치 만든다"
326,"우리은행· 라인, 'AI 협업' 업무협약 체결...'클로바' 활용"
327,"""아마존, MS 게 섰거라"" 클라우드 시장 공략 나선 "
328,"KB금융, 와 금융 AI 비즈니스 사업제휴"
329,"AI에 맡긴  뉴스 편집…""이용자 늘고 편향성 적어"""
330,"KB금융, 와 금융 AI 비즈니스 맞손"
331,""" 뉴스에 AI 결합하니 PV 69% 증가"""
332,", 국내 로보틱스·AI 스타트업에 투자"
333," , 2019 AI 콜로키움 개최"
334,·라인·컴투스 등 IT·게임사 '여름 인턴' 모집
335,KB금융 와 금융 AI 비즈니스 사업제휴
336,AI 편집하는  뉴스 '감성 뉴스' 사라질라
337, 모바일 새로운 첫화면 '그린닷' 기능 살펴보니
338,"KB금융, 와 금융 AI 비즈니스 사업제휴"
339,"KB금융, 와 금융 AI 비즈니스 사업제휴"
340,'아이에게 동화 읽어주는 홈로봇' LG 클로이 홈쇼핑서 판매
341,"KB금융, 와 금융 AI 비즈니스 사업제휴"
342,청각 넘어 시각으로..AI 스피커의 진화-누구네모(SK텔레콤) vs 테이...
343," '파파고', MAU 1천만 돌파…AI 통번역 로 자리매김"
344,"KB금융, 와 '금융 AI 비즈니스' 사업 제휴"
